Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1,also i was the point person on my companys transition from the kl-5 to gr-6 system.,Chandler,4,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
2,you mustve had your hands full.,The Interviewer,4,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
3,that i did. that i did.,Chandler,4,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
4,so lets talk a little bit about your duties.,The Interviewer,4,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
5,my duties?  all right.,Chandler,6,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
6,"now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,4,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
7,i see.,Chandler,4,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
8,but therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,4,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
9,good to know.,Chandler,4,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
10,we can go into detail,The Interviewer,4,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
11,no dont i beg of you!,Chandler,2,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
12,"all right then, well have a definite answer for you on monday, but i think i can say with some confidence, youll fit in well here.",The Interviewer,4,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
13,really?!,Chandler,6,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
14,absolutely.  you can relax,The Interviewer,4,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
15,but then who? the waitress i went out with last month?,Joey,6,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
16,you know? forget it!,Rachel,5,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
17,"no-no-no-no, no! who, who were you talking about?",Joey,6,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
18,"no, i-i-i-i don't, i actually don't know",Rachel,2,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
19,ok!,Joey,4,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
20,"all right, well...",Joey,4,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
23,"yeah, sure!",Rachel,4,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
24,"hey, mon.",Chandler,4,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
25,hey-hey-hey. you wanna hear something that sucks.,Monica,4,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
26,do i ever.,Chandler,3,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
27,chris says theyre closing down the bar.,Monica,5,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
28,no way!,Chandler,6,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
29,"yeah, apparently theyre turning it into some kinda coffee place.",Monica,4,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
30,just coffee! where are we gonna hang out now?,Chandler,1,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
31,got me.,Monica,5,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
32,can i get a beer.,Chandler,4,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
33,"hey, did you pick a roommate?",Monica,4,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
34,you betcha!,Chandler,3,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
35,is it the italian guy?,Monica,4,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
36,"um-mm, yeah right!",Chandler,3,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
37,"oh my god, oh my god! poor monica!",Phoebe,6,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
38,"what, what, what?!",Chandler,6,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
39,what?!,Phoebe,6,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
40,he was with her when he wrote this poem.,Phoebe,4,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
41,"look,  'my vessel so empty with nothing inside.",Phoebe,4,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
42,"now that i've touched you, you seem emptier still.'",Phoebe,4,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
43,"he thinks monica is empty, she is the empty vase!",Phoebe,6,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
45,"oh, totally. oh, god, oh, she seemed so happy too.",Phoebe,5,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
46,done.,Joey,4,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
47,hey!,Rachel,6,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
48,hi!,Ross,3,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
49,what are you doing here?,Rachel,6,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
50,"ah y'know, this building is on my paper route so i...",Ross,4,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
51,oh.,Rachel,4,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
52,hi.,Ross,4,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
53,hi.,Rachel,4,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
54,howd did it go?,Ross,4,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
55,"oh well, the woman i interviewed with was pretty tough, but y'know thank god mark coached me, because once i started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,3,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
56,im so proud of you.,Ross,3,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
57,me too!,Rachel,3,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
58,"listen, im ah, im sorry ive been so crazy and jealous and, its just that i like you a lot, so...",Ross,5,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
59,i know.,Rachel,4,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
60,yeah.,Ross,4,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
61,yeah.,Rachel,4,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
62,ameri-can.,Phoebe,4,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
63,ameri-ccan.,Joey,4,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
64,ameri-can. y'know its a,Phoebe,4,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
65,everybody!!,Sergei,6,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
66,good job joe! well done! top notch!,Chandler,3,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
67,you liked it? you really liked it?,Joey,6,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
68,"oh-ho-ho, yeah!",Chandler,3,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
69,which part exactly?,Joey,4,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
70,the whole thing! can we go?,Chandler,4,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
71,"oh no-no-no, give me some specifics.",Joey,0,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
72,"i love the specifics, the specifics were the best part!",Chandler,3,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
73,"hey, what about the scene with the kangaroo? did-did you like that part?",Joey,4,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
74,i was surprised to see a kangaroo in a world war i epic.,Chandler,6,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
75,you fell asleep!!,Joey,0,negative,6,9,8,22,"00:12:55,930","00:12:56,931"
76,there was no kangaroo!,Joey,0,negative,6,10,8,22,"0:12:58,432","0:12:59,809"
77,they didnt take any of my suggestions!,Joey,0,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
78,thats for coming buddy.,Joey,4,neutral,6,12,8,22,"0:13:05,940","0:13:07,242"
79,ill see you later.,Joey,4,neutral,6,13,8,22,"0:13:07,242","0:13:08,202"
80,dont go!,Chandler,5,negative,6,14,8,22,"0:13:08,202","0:13:08,804"
81,im sorry.,Chandler,5,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
82,im so sorry!,Chandler,5,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
83,look!,Chandler,6,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
